user_id,event_time,event_type,product_id,category_code,brand,price,date,week,days_since_first,first_seen
1102,2023-03-04 22:42:00,view,5073,electronics.smartphone,Samsung,870.9,2023-03-04,9,61,2023-01-02 11:55:00
1435,2023-01-01 22:32:00,view,5008,electronics.smartphone,Nike,1484.46,2023-01-01,52,0,2023-01-01 22:32:00
1860,2023-02-27 23:02:00,view,5084,electronics.audio,Samsung,1039.52,2023-02-27,9,48,2023-01-10 13:41:00
1270,2023-02-13 02:42:00,view,5076,electronics.smartphone,Nike,1112.26,2023-02-13,7,34,2023-01-09 17:26:00
1106,2023-02-12 07:23:00,view,5009,apparel.shoes,IKEA,57.82,2023-02-12,6,40,2023-01-03 06:58:00
1071,2023-02-05 21:16:00,view,5074,electronics.smartphone,Nike,41.83,2023-02-05,5,31,2023-01-05 15:48:00
1700,2023-03-03 21:00:00,view,5067,electronics.audio,Samsung,63.8,2023-03-03,9,43,2023-01-19 19:55:00
1020,2023-02-11 09:00:00,view,5057,electronics.audio,Samsung,1487.67,2023-02-11,6,41,2023-01-01 08:23:00
1614,2023-03-03 14:37:00,view,5094,apparel.shoes,Nike,1469.48,2023-03-03,9,58,2023-01-04 02:50:00
1121,2023-03-06 11:57:00,view,5051,furniture.bedroom,Samsung,508.42,2023-03-06,10,63,2023-01-02 11:15:00
1466,2023-03-01 14:38:00,view,5033,apparel.shoes,Nike,443.56,2023-03-01,9,48,2023-01-11 19:25:00
1214,2023-01-14 02:28:00,view,5034,electronics.audio,Apple,227.48,2023-01-14,2,9,2023-01-04 10:02:00
1330,2023-01-09 09:06:00,view,5032,furniture.bedroom,Sony,500.42,2023-01-09,2,5,2023-01-04 03:08:00
1458,2023-01-05 12:48:00,view,5071,apparel.shoes,Nike,561.52,2023-01-05,1,1,2023-01-03 21:09:00
1087,2023-03-07 16:08:00,cart,5031,apparel.shoes,Apple,1124.94,2023-03-07,10,62,2023-01-04 15:25:00
1372,2023-02-04 07:58:00,purchase,5054,furniture.bedroom,Apple,1300.78,2023-02-04,5,21,2023-01-13 10:43:00
1099,2023-01-08 00:01:00,cart,5096,apparel.shoes,Apple,1122.64,2023-01-08,1,1,2023-01-06 23:25:00
1871,2023-01-18 20:51:00,view,5007,furniture.bedroom,Apple,973.25,2023-01-18,3,17,2023-01-01 20:09:00
1663,2023-01-27 10:11:00,cart,5045,electronics.smartphone,Nike,1151.19,2023-01-27,4,24,2023-01-02 19:08:00
1130,2023-02-04 00:12:00,view,5013,furniture.bedroom,Samsung,1110.36,2023-02-04,5,26,2023-01-08 01:34:00
1661,2023-02-26 08:18:00,view,5097,apparel.shoes,Apple,718.87,2023-02-26,8,52,2023-01-04 19:36:00
1308,2023-01-17 04:57:00,view,5007,electronics.smartphone,IKEA,510.42,2023-01-17,3,14,2023-01-02 12:41:00
1769,2023-02-01 22:19:00,cart,5070,electronics.audio,Apple,431.34,2023-02-01,5,31,2023-01-01 12:00:00
1343,2023-01-27 17:44:00,view,5076,electronics.audio,Samsung,1022.24,2023-01-27,4,16,2023-01-10 21:58:00
1491,2023-01-01 11:39:00,view,5053,electronics.audio,Samsung,1439.36,2023-01-01,52,0,2023-01-01 08:23:00
1413,2023-01-14 20:30:00,cart,5020,apparel.shoes,Sony,875.77,2023-01-14,2,0,2023-01-14 20:30:00
1805,2023-02-16 20:42:00,cart,5095,electronics.smartphone,Sony,1369.66,2023-02-16,7,44,2023-01-03 18:32:00
1385,2023-01-12 01:22:00,view,5074,furniture.bedroom,Apple,31.2,2023-01-12,2,0,2023-01-12 01:22:00
1191,2023-02-11 02:12:00,view,5013,electronics.audio,Apple,1193.76,2023-02-11,6,38,2023-01-04 01:46:00
1955,2023-01-03 05:38:00,view,5074,electronics.audio,Sony,1281.87,2023-01-03,1,0,2023-01-03 05:38:00
1276,2023-02-15 11:38:00,cart,5001,electronics.smartphone,Apple,950.18,2023-02-15,7,36,2023-01-10 09:01:00
1160,2023-01-28 13:04:00,view,5097,electronics.smartphone,IKEA,1401.75,2023-01-28,4,16,2023-01-12 06:06:00
1459,2023-02-24 01:50:00,view,5060,electronics.smartphone,Nike,888.97,2023-02-24,8,53,2023-01-01 16:50:00
1313,2023-03-08 10:43:00,cart,5016,apparel.shoes,Sony,368.4,2023-03-08,10,58,2023-01-08 23:58:00
1021,2023-01-17 08:30:00,view,5077,electronics.smartphone,Sony,331.42,2023-01-17,3,0,2023-01-17 08:30:00
1252,2023-02-01 05:04:00,view,5088,furniture.bedroom,Samsung,838.2,2023-02-01,5,26,2023-01-05 10:25:00
1747,2023-02-25 01:11:00,view,5047,furniture.bedroom,Apple,1360.66,2023-02-25,8,47,2023-01-08 02:28:00
1856,2023-01-27 12:11:00,view,5090,electronics.audio,Sony,117.83,2023-01-27,4,25,2023-01-01 18:47:00
1560,2023-01-19 21:59:00,view,5007,furniture.bedroom,Sony,910.54,2023-01-19,3,17,2023-01-02 00:35:00
1474,2023-02-24 18:42:00,view,5055,electronics.smartphone,IKEA,1157.01,2023-02-24,8,46,2023-01-09 01:47:00
1058,2023-01-11 15:53:00,view,5016,furniture.bedroom,Apple,181.95,2023-01-11,2,5,2023-01-05 16:25:00
1510,2023-01-17 03:45:00,view,5068,electronics.audio,Nike,183.99,2023-01-17,3,11,2023-01-05 16:40:00
1681,2023-02-23 06:00:00,view,5011,apparel.shoes,IKEA,555.53,2023-02-23,8,52,2023-01-01 15:56:00
1475,2023-02-03 17:12:00,purchase,5037,furniture.bedroom,Nike,418.08,2023-02-03,5,30,2023-01-04 08:38:00
1699,2023-02-26 21:25:00,purchase,5017,electronics.audio,Samsung,305.49,2023-02-26,8,52,2023-01-05 10:50:00
1975,2023-02-05 05:15:00,view,5025,electronics.audio,Sony,306.05,2023-02-05,5,29,2023-01-06 19:08:00
1782,2023-01-21 23:13:00,view,5094,electronics.smartphone,IKEA,204.7,2023-01-21,3,16,2023-01-05 01:27:00
1189,2023-02-23 07:07:00,view,5036,electronics.audio,Nike,920.17,2023-02-23,8,51,2023-01-03 06:34:00
1957,2023-01-28 11:27:00,cart,5069,furniture.bedroom,Apple,1035.31,2023-01-28,4,24,2023-01-04 01:41:00
1686,2023-01-15 17:28:00,view,5040,electronics.audio,Samsung,1057.37,2023-01-15,2,13,2023-01-02 14:27:00
1957,2023-01-16 15:45:00,purchase,5078,electronics.audio,Samsung,803.21,2023-01-16,3,12,2023-01-04 01:41:00
1562,2023-02-26 05:59:00,view,5041,electronics.smartphone,Sony,1429.83,2023-02-26,8,53,2023-01-03 20:05:00
1875,2023-02-02 01:13:00,purchase,5089,electronics.smartphone,Sony,1321.99,2023-02-02,5,28,2023-01-04 13:50:00
1566,2023-02-10 14:19:00,cart,5075,furniture.bedroom,Nike,1436.87,2023-02-10,6,34,2023-01-07 03:52:00
1243,2023-03-05 10:19:00,cart,5040,electronics.audio,Nike,589.31,2023-03-05,9,34,2023-01-29 18:09:00
1831,2023-01-18 10:48:00,view,5046,apparel.shoes,Samsung,1317.9,2023-01-18,3,13,2023-01-05 08:17:00
1504,2023-02-14 14:10:00,view,5013,electronics.audio,Nike,1146.68,2023-02-14,7,30,2023-01-15 02:17:00
1130,2023-02-14 07:36:00,view,5000,apparel.shoes,Sony,516.56,2023-02-14,7,37,2023-01-08 01:34:00
1484,2023-01-17 12:41:00,view,5016,furniture.bedroom,Samsung,168.82,2023-01-17,3,13,2023-01-04 02:40:00
1818,2023-02-06 04:32:00,view,5096,electronics.smartphone,Samsung,1027.11,2023-02-06,6,35,2023-01-02 01:53:00
1646,2023-01-05 22:23:00,view,5054,furniture.bedroom,Apple,213.31,2023-01-05,1,2,2023-01-03 18:52:00
1020,2023-02-10 08:50:00,view,5092,electronics.smartphone,Apple,447.73,2023-02-10,6,40,2023-01-01 08:23:00
1840,2023-01-22 00:25:00,view,5052,electronics.smartphone,Nike,755.54,2023-01-22,3,16,2023-01-05 14:43:00
1166,2023-01-31 13:40:00,view,5030,electronics.audio,Nike,1023.02,2023-01-31,5,27,2023-01-04 00:43:00
1273,2023-01-10 18:56:00,view,5061,electronics.audio,Sony,1390.08,2023-01-10,2,0,2023-01-10 18:56:00
1387,2023-01-16 02:08:00,purchase,5007,electronics.smartphone,Sony,893.93,2023-01-16,3,0,2023-01-16 02:08:00
1600,2023-02-20 04:51:00,view,5029,apparel.shoes,Apple,1010.41,2023-02-20,8,48,2023-01-02 12:04:00
1315,2023-02-27 16:44:00,view,5076,apparel.shoes,Samsung,471.92,2023-02-27,9,50,2023-01-08 04:58:00
1013,2023-01-29 15:39:00,view,5079,electronics.audio,IKEA,1034.07,2023-01-29,4,26,2023-01-03 14:49:00
1241,2023-03-10 13:32:00,cart,5065,furniture.bedroom,IKEA,662.31,2023-03-10,10,67,2023-01-02 06:10:00
1776,2023-02-16 12:29:00,view,5044,apparel.shoes,Nike,1286.83,2023-02-16,7,45,2023-01-02 06:54:00
1345,2023-02-01 06:53:00,view,5017,electronics.smartphone,IKEA,594.75,2023-02-01,5,20,2023-01-11 07:28:00
1564,2023-01-02 10:17:00,view,5098,electronics.audio,IKEA,707.73,2023-01-02,1,1,2023-01-01 09:44:00
1897,2023-02-19 20:48:00,view,5044,electronics.audio,Apple,654.56,2023-02-19,7,21,2023-01-29 16:40:00
1339,2023-01-19 07:17:00,view,5018,electronics.smartphone,Samsung,1218.57,2023-01-19,3,12,2023-01-06 07:38:00
1091,2023-01-01 08:39:00,purchase,5076,furniture.bedroom,Sony,1431.01,2023-01-01,52,0,2023-01-01 08:39:00
1366,2023-01-21 16:32:00,purchase,5067,electronics.smartphone,Apple,497.64,2023-01-21,3,20,2023-01-01 02:28:00
1955,2023-01-17 12:44:00,view,5082,furniture.bedroom,Sony,717.79,2023-01-17,3,14,2023-01-03 05:38:00
1454,2023-01-08 00:56:00,view,5049,electronics.audio,Apple,1061.83,2023-01-08,1,0,2023-01-08 00:56:00
1427,2023-03-07 09:52:00,view,5024,furniture.bedroom,Apple,1344.12,2023-03-07,10,64,2023-01-01 11:00:00
1508,2023-02-21 04:55:00,view,5037,electronics.smartphone,IKEA,745.61,2023-02-21,8,41,2023-01-10 09:02:00
1775,2023-03-03 03:33:00,view,5094,electronics.audio,Sony,172.25,2023-03-03,9,60,2023-01-01 04:08:00
1942,2023-03-08 16:24:00,view,5035,apparel.shoes,Apple,559.32,2023-03-08,10,63,2023-01-04 14:29:00
1034,2023-01-13 15:21:00,purchase,5067,electronics.audio,IKEA,830.04,2023-01-13,2,12,2023-01-01 00:04:00
1205,2023-01-08 11:27:00,purchase,5055,electronics.smartphone,Nike,632.11,2023-01-08,1,3,2023-01-05 10:31:00
1080,2023-01-03 13:02:00,view,5038,electronics.smartphone,Sony,287.97,2023-01-03,1,0,2023-01-03 13:02:00
1931,2023-01-15 08:24:00,view,5062,electronics.audio,Apple,65.11,2023-01-15,2,12,2023-01-02 15:03:00
1561,2023-02-18 14:35:00,view,5006,electronics.audio,Nike,1034.24,2023-02-18,7,46,2023-01-03 10:34:00
1871,2023-01-30 12:05:00,view,5057,electronics.audio,IKEA,1489.18,2023-01-30,5,28,2023-01-01 20:09:00
1387,2023-01-18 17:58:00,view,5079,furniture.bedroom,Apple,1379.62,2023-01-18,3,2,2023-01-16 02:08:00
1001,2023-03-06 22:53:00,view,5058,apparel.shoes,IKEA,1028.07,2023-03-06,10,46,2023-01-19 03:15:00
1389,2023-01-21 02:46:00,cart,5047,furniture.bedroom,IKEA,1263.88,2023-01-21,3,18,2023-01-02 08:54:00
1565,2023-02-09 03:54:00,cart,5004,electronics.smartphone,IKEA,391.03,2023-02-09,6,33,2023-01-06 05:54:00
1105,2023-02-15 06:32:00,view,5086,electronics.audio,Sony,937.43,2023-02-15,7,29,2023-01-16 16:40:00
1771,2023-02-12 12:28:00,view,5035,furniture.bedroom,Nike,100.3,2023-02-12,6,38,2023-01-05 10:36:00
1821,2023-03-03 23:23:00,view,5095,furniture.bedroom,Nike,1063.7,2023-03-03,9,60,2023-01-02 08:15:00
1476,2023-02-17 00:58:00,view,5087,electronics.smartphone,Samsung,1455.11,2023-02-17,7,45,2023-01-02 07:34:00
1702,2023-03-10 01:23:00,view,5024,furniture.bedroom,Apple,1292.59,2023-03-10,10,56,2023-01-12 09:40:00
1401,2023-01-19 21:24:00,view,5044,electronics.smartphone,IKEA,806.32,2023-01-19,3,16,2023-01-03 08:09:00
1729,2023-01-06 16:08:00,view,5091,furniture.bedroom,Apple,1185.22,2023-01-06,1,0,2023-01-06 16:08:00
1555,2023-01-26 02:17:00,view,5018,apparel.shoes,Nike,1416.41,2023-01-26,4,7,2023-01-18 09:16:00
1161,2023-03-03 20:42:00,purchase,5006,electronics.smartphone,Nike,331.87,2023-03-03,9,61,2023-01-01 18:35:00
1201,2023-03-09 03:50:00,view,5057,apparel.shoes,IKEA,1191.96,2023-03-09,10,57,2023-01-10 05:21:00
1957,2023-02-20 15:22:00,view,5080,furniture.bedroom,Sony,412.07,2023-02-20,8,47,2023-01-04 01:41:00
1995,2023-03-04 18:22:00,view,5065,apparel.shoes,IKEA,1316.65,2023-03-04,9,55,2023-01-07 23:44:00
1269,2023-03-06 09:58:00,view,5079,apparel.shoes,IKEA,156.55,2023-03-06,10,58,2023-01-06 15:05:00
1862,2023-01-31 03:25:00,view,5038,apparel.shoes,Samsung,275.55,2023-01-31,5,10,2023-01-20 15:58:00
1815,2023-02-15 15:36:00,purchase,5017,furniture.bedroom,Sony,1083.72,2023-02-15,7,37,2023-01-09 00:59:00
1270,2023-01-18 08:59:00,cart,5000,electronics.smartphone,Apple,270.42,2023-01-18,3,8,2023-01-09 17:26:00
1455,2023-02-15 21:50:00,view,5062,furniture.bedroom,Sony,245.5,2023-02-15,7,39,2023-01-07 08:43:00
1461,2023-01-29 01:30:00,view,5002,furniture.bedroom,IKEA,837.65,2023-01-29,4,17,2023-01-11 16:04:00
1726,2023-02-22 16:45:00,view,5020,furniture.bedroom,IKEA,1254.13,2023-02-22,8,52,2023-01-01 01:45:00
1251,2023-01-13 23:22:00,view,5029,electronics.smartphone,IKEA,410.02,2023-01-13,2,7,2023-01-06 22:31:00
1701,2023-01-05 07:04:00,cart,5010,electronics.audio,IKEA,1263.3,2023-01-05,1,0,2023-01-05 07:04:00
1295,2023-01-09 16:21:00,view,5021,furniture.bedroom,IKEA,1213.85,2023-01-09,2,0,2023-01-09 16:21:00
1724,2023-02-22 05:02:00,view,5056,furniture.bedroom,Sony,872.87,2023-02-22,8,43,2023-01-09 15:16:00
1719,2023-03-07 14:04:00,view,5088,electronics.smartphone,IKEA,973.38,2023-03-07,10,59,2023-01-07 02:31:00
1748,2023-02-26 22:09:00,view,5002,electronics.audio,Nike,70.26,2023-02-26,8,52,2023-01-05 00:07:00
1337,2023-02-03 06:26:00,purchase,5029,electronics.audio,Nike,557.03,2023-02-03,5,31,2023-01-02 09:33:00
1878,2023-02-12 16:30:00,view,5087,electronics.audio,Samsung,402.46,2023-02-12,6,29,2023-01-14 07:49:00
